"","Country","Year","A","B","B1G","C10to12","C13to15","C16to18","C19","C20_21","C22_23","C24_25","C26","C27","C28","C29_30","C31to33","D_E","F","G","H","I","J58to60","J61","J62_63","K","L68","M_N","O84","P85","Q","R_S","T_U","Nuclear","Hydro","Wind","Solar","Other","Coal","Gas","Oil","Bio_Rest","Bio_Gas"
"36","FR",2011,0.000261951228491561,0.107728932794619,0.26982351015251,0.00107319719966108,0.00021703917188801,0.000500578232973763,0.00744878750079906,0.0285669749922275,0.00536387891658814,0.00474785016452162,0.00143172300686141,0.00248123504721897,0.00353574165164712,0.000542875947446612,0.000900270173724693,0.421504479953259,0.0134145796729495,0.0403386259811819,0.0174435345265679,0.00205854079772104,0.00205262926290311,0.00277807018414109,0.00436811697003717,0.00858663113814731,0.00204740057864171,0.0424533263596732,0.00215589577706584,0.00357025486977557,0.000480453651572128,0.0021229140951856,0,0.749611193250463,0.0854605493463746,0.0203112042389083,0.00241506363128792,0.00760578124796285,0.0359839912592254,0.0719349018277773,0.0165282763116749,0.00971878224130027,0.000430256645025162
"37","HR",2011,0.00320598146707758,0.0996036419090495,0.260837161594793,0.0029062891490854,0.000459170316502246,0.0112272510951086,0.171189683763024,0.00155751581911216,0.00516613975767555,0.00915782669067995,0.00425632567112605,0.0064672275871042,0.00200721219510886,0.00432074846656378,0.0048244463034421,0.19313069837784,0.0235307418316474,0.093941699264917,0.0223727105038526,0.00630490740644247,0.00216416380948411,0.00148204009308462,0.00406116249671175,0.0241092837985196,0.0089231887641592,0.0277933834631105,0.00048917112810315,0.00104560723379569,0.000936972715998738,0.00252733152886347,0.000000315798016851614,0,0.36302497350939,0.0141465722519169,0,0,0.180245629538105,0.351795300898139,0.0867288886455967,0.00166177258348941,0.00239686257336237
"38","IT",2011,0.00401602097305798,0.0853428679402652,0.280738151832729,0.000726074025269965,0.000521333851147192,0.00155754218601977,0.0275674189216935,0.00195538599595111,0.00628594429310896,0.00577912587437034,0.0025736829355875,0.00302458065097215,0.00284786735759157,0.00280937726932153,0.00250583538527115,0.354501055356609,0.00696950019761552,0.04743553799285,0.0606998852821184,0.00873365746777749,0.00112559920612197,0.0221279904542646,0.00897344031497327,0.0138344771856957,0.0116387882062208,0.0277251169986189,0.00154501052937371,0.000564952725534922,0.000371679743014914,0.00550209884685292,0,0,0.151152972754558,0.0317461028246234,0.0348029797376655,0.0399675597610007,0.163866439842973,0.471919722988791,0.059376373133251,0.0247818534533967,0.0223859955037408
"39","LV",2011,0.00156428732047359,0.0888731987847868,0.221005743229888,0.00124122798254969,0.000486714397266918,0.011010797408214,0.0112900737042876,0.00351582076837963,0.0112620185512574,0.00949581914458138,0.00112645690197147,0.00230477332924125,0.00266013860095753,0.000724333041871466,0.0141304454095606,0.416997767064866,0.0513188259853629,0.0549902253296374,0.031798815647464,0.000306906371027698,0.000603185790150006,0.00490880162413831,0.00197321242979304,0.0110732838854177,0.00407352320437456,0.0344712815126318,0.00378872089331008,0.000501592129934466,0.000115621236730657,0.00238638831987465,0,0,0.233133633406736,0.00573558949699289,0,0.000180004440709552,0.00558463777301386,0.672402088159515,0.0110837734366907,0.0632175595771948,0.00866271370914721
"40","LT",2011,0.000700089695779672,0.128952204228809,0.400284250808933,0.00224727764313416,0.000900555908227596,0.00298951664512083,0.0453742421477642,0.00486002061203877,0.00294119914776159,0.00480245082795116,0.0019717651050006,0.00215938091921469,0.00367418586301989,0.00122130184814427,0.0207153559688815,0.21001251628788,0.0335688382982989,0.0645722230931937,0.0310583844993356,0.000193269989436973,0.000249297725736521,0.00374717612498811,0.00213933429796989,0.00763365056683107,0.00481992736954918,0.0152590768787925,0.000421493062069994,0.000154718794735449,0.000192241957578265,0.00218405368382366,0,0,0.0765430010751779,0.0344298537033234,0,0.0015906189722588,0.00398661463933218,0.704978436038996,0.0210928156371939,0.156295428279192,0.00108323165452561
"41","LU",2011,0.00210077289337423,0.061703841916644,0.237944828676999,0.00162236356133858,0.00127628021475959,0.00701092824721313,0.002928397547976,0.00813217565060929,0.0330658364842317,0.043467128737524,0.00566574456073645,0.0822840561281417,0.0252382454983718,0.00673374837235123,0.00527972852032143,0.274388501263361,0.0489026730632056,0.0797369766566,0.00591160467572695,0.00103511806374981,0.000213757361122312,0.00172102080493349,0.000689034717170823,0.0421947634927483,0.00437537045403473,0.0146944483376646,0.000771249086833251,0.000386016040415018,0.0000829973636592128,0.00044239160818354,0,0,0.267437558069402,0.0152062151516817,0,0.0236616304932452,0,0.686456087031834,0.000860050022895055,0.00637845923094221,0
"42","HU",2011,0.00893343017903613,0.0700207924717439,0.364341416966735,0.00450897115881233,0.000740901584726881,0.0144691528030954,0.0352431597100097,0.0154776169778495,0.00918749923433068,0.0202410122849756,0.00406883336141527,0.0125225328714047,0.016493715652518,0.00633184117328415,0.021408025492838,0.0939391480643791,0.0151205709469638,0.0439019254386331,0.0650045709348907,0.000562289796029243,0.00148482146011764,0.00226655874206167,0.0218195783021831,0.020163957099792,0.0170174778559555,0.104888618860375,0.00515239970974697,0.00115405231265869,0.000977571082076733,0.0025575574713613,0,0.328439465771366,0.00460716855134756,0.0129913851943404,0.0000288236270729953,0.0110694257411131,0.177004740910181,0.413825425667325,0.00433161467652973,0.0463264863768009,0.00137546348392333
"43","NL",2011,0.00451974852976538,0.192394839322743,0.403696755410817,0.0020923439906001,0.000144306719743264,0.00259260728571008,0.0253989654087483,0.00666966003974693,0.00235038923246359,0.00336462237491724,0.00355899680244239,0.0010612492027571,0.00271560419594287,0.000846858036686906,0.0105945442025706,0.127090048789636,0.0469287004290254,0.0296970298521984,0.0133756812350421,0.00130796714296332,0.00323624628946821,0.00209255088195457,0.00667824603095746,0.0196592302845082,0.00574345916862054,0.0728133950152321,0.00491558341370632,0.00214153241012549,0.000355697961173631,0.00196314033973319,0,0.0347296194385257,0.00047804595701424,0.0349108911107171,0.0000588080394839272,0.000142575109986703,0.249443541692913,0.628424491648189,0.0161566487382318,0.034256007287873,0.00139937097706564
"44","AT",2011,0.00244839189189368,0.0972541652123412,0.186386118414518,0.000797801390570998,0.000149587760732062,0.00375473876435219,0.00664286709081167,0.00132149081463696,0.00231328676582135,0.00442444488854918,0.00131626648523915,0.00886409985002868,0.00435626408337025,0.000653404893860805,0.0147271200494023,0.514762136282518,0.0139804377300276,0.0240040411179853,0.0454105324332321,0.00398993278338118,0.000669673058821055,0.00186905344012833,0.00538800300868469,0.0193518088546167,0.00315628852529614,0.0282151151356229,0.00143325178529884,0.00166751997380164,0.00017273352388689,0.000519423990570284,0,0,0.485517136156735,0.0255349256363798,0.00256226798695176,0.020996450958477,0.0788301048937181,0.233951455003277,0.0144969052385908,0.129793354540851,0.0083173995850196
"45","PL",2011,0.00487413606083384,0.162057926673734,0.413424804045018,0.00135564233598075,0.000721612492767324,0.00233536856874062,0.0143557269979106,0.00422523001836315,0.00573485269953559,0.0104430139927399,0.00528350414091858,0.0187462697540933,0.0110452664050792,0.00294466965140859,0.0124753676232063,0.0445806590249734,0.10382683605595,0.0580322869601702,0.0453690586426784,0.000556767070107633,0.00161846817050243,0.00349423227946755,0.00583182059521776,0.0107895671267462,0.00480427244442669,0.0437483317822364,0.00345489992017478,0.000768772380988654,0.00108826017864991,0.00201233696445001,0.00000003894292999284,0,0.0118336596632618,0.0137466035595339,0,0.0000285940791669973,0.888394687887286,0.0414637976320767,0.00453120841199684,0.0399954916668513,0.00000595709982645777
"46","PT",2011,0.000227548391698209,0.0878668540588777,0.236868524454068,0.000716339555339568,0.000290706800483329,0.00416415041141655,0.025750076610185,0.00142021070565458,0.00182357845153839,0.00382060132297199,0.00110530926208788,0.00574303641434796,0.00152062589612023,0.000656669331293463,0.00470110821113492,0.496322896659855,0.00645603621834166,0.0213342573806835,0.0245377468716364,0.000503411852866587,0.000343549088444557,0.00228758123852378,0.00524667514765597,0.0218094668888517,0.0014527918354509,0.0381017387710324,0.00320875887640968,0.000247883766559693,0.000856980195348736,0.000614885331121874,0,0,0.274257313489301,0.207630257464919,0.00458205369404735,0.00475956271887708,0.22320082693096,0.239315346422015,0.0307293989825913,0.0155252402972895,0
"47","RO",2011,0.000155320169009903,0.206836427038351,0.440071770657276,0.000913669669278283,0.00114469004684349,0.00124586864274426,0.0127243108647438,0.00271975660300581,0.00320145736375616,0.0179351922920039,0.00255880179064066,0.0077735417236766,0.00257993170322284,0.00179855366054606,0.00242644891791574,0.115228885337703,0.0207893841359311,0.0972408376411815,0.0357717170791675,0.00101650191051157,0.000593903658867912,0.0030333367549501,0.00266169527799738,0.00777795144456332,0.000477474778233912,0.00601191947555679,0.00349727613990672,0.000699675714025681,0.0000771701155175383,0.00103652939287208,0,0.139848845307518,0.176397407075976,0.0162266090196771,0.0000119050689799538,0.0000231487452387992,0.351791481394031,0.28050591252023,0.0315907619310286,0.00360392893732047,0
"48","SI",2011,0.00397003080204499,0.095715681028134,0.39632930030878,0.00376822921241825,0.00120843540141185,0.00435226675416151,0.00356215417736413,0.0162932229328276,0.0100098336727557,0.0133811072876964,0.00354363591384544,0.0146911557248262,0.00838212579218995,0.00263814031050854,0.0129115031179533,0.0933282495160323,0.0198681974464739,0.0633770949972674,0.0226350159470739,0.00312863688011893,0.00341020945105694,0.00841061542837254,0.0154466059109347,0.020326405761744,0.00588358469897613,0.138812903336089,0.00197718075107228,0.0053147416298636,0.00214811856816786,0.00517561723983858,0,0.339582435328472,0.195662864185239,0,0.000109278337997899,0.00193058397129622,0.372323439596399,0.0643710120995404,0.00295962165410978,0.0146675813668292,0.00839318346011644
"49","SK",2011,0.00178714344990774,0.0588004643414518,0.209117303657855,0.00106839119204456,0.000496515107094005,0.00285815304726328,0.00994143036445174,0.00278901078202029,0.00146254301651256,0.00464881497930764,0.000552074394786297,0.00368311437055296,0.000978547159811668,0.00069935969352875,0.008105682765959,0.570664172417408,0.01352398160603,0.0391670885435849,0.0262822433089312,0.000319854573769028,0.000570812357792976,0.00157210691374376,0.00624186913553921,0.00789596486558294,0.00699711541742413,0.0176102485693074,0.00113180569566979,0.000155140514675384,0.000158986297475882,0.000720061460518662,0,0.429374191522015,0.108382567688866,0,0.00228495043815971,0.000872300297564555,0.166037747083525,0.212082103404799,0.0548462533511366,0.0256748046627875,0.00044508155114642
"50","FI",2011,0.0115829341633703,0.129405233541742,0.489980840355923,0.00514132968906774,0.000408745928929109,0.031286030375221,0.0262443164392728,0.0173254288554574,0.00497603180711717,0.00383899832054267,0.00555046122736377,0.00109307401874627,0.0105154388992961,0.00189578418420611,0.0225459370011982,0.0316379631907581,0.0288563057542943,0.0424490359380218,0.0203172433968895,0.000554377733167059,0.00465906090751365,0.000488824140791635,0.00797324487968602,0.0197689068771374,0.0065468758314702,0.0664082312689607,0.00713544426183699,0.0000992301437526013,0.000108356232102905,0.00120631463616342,0,0.208988018012289,0.103615226422964,0.00433532741035541,0,0.01920753339499,0.288765453178915,0.163633823565494,0.0242413802945399,0.186609356355601,0.000603881364852001
"51","SE",2011,0.00619242564619167,0.027473206356232,0.588072466218808,0.00111949322939451,0.000182434728893047,0.0354029636182863,0.0113499882596611,0.0181138981487239,0.00355609472141241,0.00430480901740438,0.00239355448615131,0.00486908261571607,0.00940669244318487,0.00241811404995177,0.00679768606621009,0.0889547943006415,0.0391325475321081,0.0271166860658306,0.0121769895537278,0.00267867313080169,0.00452584509160853,0.00256460398679248,0.0122526742139164,0.0162859726452,0.00659876986403815,0.0508490859261067,0.0100593370988801,0.000359827428131695,0.00125996525987353,0.00353126408074881,0.0000000542153726279487,0.310434659856525,0.341573091385085,0.0313488957047342,0.0000564659984856846,0.112478843074431,0.0346284865258724,0.027343802357598,0.0125642550266859,0.128429632101205,0.00114186796937718
